节点总数: 1,777,011
时间步数: 55
时间范围: 0.0000 → 0.9980 s

Part ID               节点数
--------------------------
2000973               151
2000040               150
2000042               150
2000585               150
2000588               150
2000618               150
2000625               150
2000626               150
2000628               150
2000027               149
2000123               149
2000153               149
2000458               149
2000155               148
2000176               148
2000194               148
2000512               148
2000526               148
2000311               146
2000634               146
2000532               144
2000533               144
2000534               144
2000535               144
2000050               142
2000760               142
2000785               142
2000010               141
2000616               141
2000513               140
2000525               140
2000460               139
2000376               138
2000389               138
2000745               138
2000787               138
2000459               136
2000563               136
2000565               135
2000744               135
2000770               135
2000063               133
2000788               133
2000029               132
2000579               132
2000580               132
2000912               132
2000917               131
2000106               130
2000964               129
2000979               129
2001101               129
2000076               128
2000746               127
2000771               127
2000372               125
2000392               125
2000105               124
2000742               123
2000768               123
2000795               123
2000805               123
2000196               122
2000205               121
2000586               120
2000619               120
2000075               119
2000519               117
2000521               117
2000078               116
2000476               116
2000966               115
2001103               115
2000363               113
2000387               113
2000261               110
2000095               109
2000967               109
2001104               109
2000562               108
2000566               108
2000905               108
2000087               107
2000004               106
2000613               106
2000490               105
2000502               103
2000794               102
2000804               102
2000207               100
2000560               100
2000568               100
2000375                99
2000398                99
2000383                96
2000692                96
2000697                96
2000761                96
2000786                96
2000012                95
2000606                95
2000384                93
2000432                92
2000484                92
2000987                88
2000304                87
2000743                86
2000769                86
2000918                86
2000080                84
2000352                81
2000549                81
2000903                81
2000819                80
2000516                79
2000523                79
2000919                79
2000342                78
2000690                78
2000701                78
2000747                78
2000772                78
2000489                76
2000462                74
2000546                74
2000911                74
2000119                73
2000132                73
2000425                73
2000030                72
2000510                72
2000527                72
2000749                72
2000774                72
2000952                71
2000989                71
2000341                70
2000582                70
2000622                70
2000436                68
2000572                68
2000573                68
2000158                67
2000982                67
2000983                67
2001108                67
2001109                67
2000054                66
2000592                66
2000593                66
2000503                65
2000791                65
2000801                65
2000464                63
2000501                63
2000688                62
2000695                62
2000435                60
2000488                60
2000434                59
2000702                59
2000499                56
2000598                56
2000465                55
2000599                55
2000600                55
2000691                55
2000473                54
2000700                52
2000693                51
2000698                51
2000687                49
2000213                48
2000219                48
2000233                48
2000236                48
2000456                48
2000429                47
2000297                45
2000298                45
2000515                44
2000524                44
2000469                43
2000696                43
2000475                42
2000686                42
2000699                42
2000913                42
2000258                41
2000262                41
2000498                41
2000339                40
2000340                40
2000596                40
2000659                40
2000650                39
2000661                39
2000689                39
2000597                38
2000653                38
2000657                38
2000712                38
2000216                36
2000222                36
2000239                36
2000242                36
2000509                36
2000528                36
2000583                36
2000617                36
2000646                36
2000655                36
2000656                36
2000005                35
2000461                35
2000601                35
2000612                35
2000644                35
2000667                35
2000718                35
2000649                32
2000685                32
2000721                32
2000722                32
2000723                32
2000647                30
